case_id,trial,tier,source,negative_case,expected_decision,actual_decision,status,automatic_pass,passed,failures,outcome_failures,diagnostic_clean,diagnostic_warnings,review_status,turns,tokens_in,tokens_out,tokens_measured,cost_usd,duration_ms,backend,model,prompt_version,descriptor_version,call_mode,autonomy,policy,reviewers
REF-6002,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,0,0,False,0.0,8.016,scripted,scripted,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (GPT-5)
REF-6002,2,core,team,False,book,book,completed,True,True,,,True,,accepted,4,0,0,False,0.0,3.141,scripted,scripted,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (GPT-5)
REF-6002,3,core,team,False,book,book,completed,True,True,,,True,,accepted,4,0,0,False,0.0,2.952,scripted,scripted,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (GPT-5)
REF-6003,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,0,0,False,0.0,3.057,scripted,scripted,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (GPT-5)
REF-6003,2,core,team,False,book,book,completed,True,True,,,True,,accepted,4,0,0,False,0.0,2.969,scripted,scripted,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (GPT-5)
REF-6003,3,core,team,False,book,book,completed,True,True,,,True,,accepted,4,0,0,False,0.0,2.896,scripted,scripted,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (GPT-5)
REF-6004,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,0,0,False,0.0,3.066,scripted,scripted,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (GPT-5)
REF-6004,2,core,team,False,book,book,completed,True,True,,,True,,accepted,4,0,0,False,0.0,2.975,scripted,scripted,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (GPT-5)
REF-6004,3,core,team,False,book,book,completed,True,True,,,True,,accepted,4,0,0,False,0.0,2.905,scripted,scripted,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (GPT-5)
REF-6005,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,0,0,False,0.0,3.508,scripted,scripted,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (GPT-5)
REF-6005,2,core,team,False,book,book,completed,True,True,,,True,,accepted,4,0,0,False,0.0,3.012,scripted,scripted,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (GPT-5)
REF-6005,3,core,team,False,book,book,completed,True,True,,,True,,accepted,4,0,0,False,0.0,3.042,scripted,scripted,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (GPT-5)
REF-6006,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,0,0,False,0.0,2.979,scripted,scripted,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (GPT-5)
