run_id,timestamp,case_id,trial,model,prompt_version,descriptor_version,backend,execution_mode,negative_case,expected_decision,decision,passed,failure_reason,status,turns,tokens_in,tokens_out,tokens_measured,cost_usd,latency_ms,error,cached_input_tokens,reasoning_tokens,provider_cost_usd,calculated_cost_usd,cost_source,temperature,autonomy,prompt_hash
ec45edd9-7a8e-45a1-b3b5-9ae69aeb912d,2026-09-17T13:15:07.691725Z,REF-6002,1,meta-llama/llama-3.3-70b-instruct,v2,v2,live,parallel,False,book,book,True,,completed,4,21349,379,True,0.00276918,28593.222,,9056,0,0.00276918,0.00225618,provider_reported,0.0,confirm,90ff19f3c3d852992a6f990650e233f57b38add684a07643dcbb93d77c8e7f73
3a2d0b10-104a-4ac4-a204-d61ff58f1c00,2026-09-17T13:15:46.328176Z,REF-6003,1,meta-llama/llama-3.3-70b-instruct,v2,v2,live,parallel,False,book,book,True,,completed,4,21378,399,True,0.00243028,19622.234,,20528,0,0.00243028,0.00226548,provider_reported,0.0,confirm,90ff19f3c3d852992a6f990650e233f57b38add684a07643dcbb93d77c8e7f73
f5487516-d45a-4d89-a11d-7b8a0e1a2c3f,2026-09-17T13:16:05.952887Z,REF-6004,1,meta-llama/llama-3.3-70b-instruct,v2,v2,live,parallel,False,book,book,True,,completed,4,21113,408,True,0.00315311,23882.856,,4320,0,0.00315311,0.00224186,provider_reported,0.0,confirm,90ff19f3c3d852992a6f990650e233f57b38add684a07643dcbb93d77c8e7f73
dd479305-1b39-43e0-9208-183f6586963e,2026-09-17T13:16:29.839273Z,REF-6005,1,meta-llama/llama-3.3-70b-instruct,v2,v2,live,parallel,False,book,book,True,,completed,4,21120,394,True,0.00669527,34449.192,,0,0,0.00669527,0.00223808,provider_reported,0.0,confirm,90ff19f3c3d852992a6f990650e233f57b38add684a07643dcbb93d77c8e7f73
54ab2e3c-7631-4e25-8163-7f4c6cb96c24,2026-09-17T13:17:04.292474Z,REF-6006,1,meta-llama/llama-3.3-70b-instruct,v2,v2,live,parallel,False,book,book,True,,completed,4,21145,389,True,0.00274548,23396.68,,8608,0,0.00274548,0.00223898,provider_reported,0.0,confirm,90ff19f3c3d852992a6f990650e233f57b38add684a07643dcbb93d77c8e7f73
821c1cb2-201a-4175-8502-9c43f5d3e729,2026-09-17T13:17:27.693646Z,REF-6007,1,meta-llama/llama-3.3-70b-instruct,v2,v2,live,parallel,False,book,book,True,,completed,4,21231,399,True,0.00253081,15969.097,,16736,0,0.00253081,0.00225078,provider_reported,0.0,confirm,90ff19f3c3d852992a6f990650e233f57b38add684a07643dcbb93d77c8e7f73
d7141266-e228-4659-9556-0adab08cc53f,2026-09-17T13:17:43.666299Z,REF-6008,1,meta-llama/llama-3.3-70b-instruct,v2,v2,live,parallel,False,book,book,True,,completed,4,21244,385,True,0.00348165,17919.143,,0,0,0.00348165,0.0022476,provider_reported,0.0,confirm,90ff19f3c3d852992a6f990650e233f57b38add684a07643dcbb93d77c8e7f73
36ad7cec-f4c8-40c8-b79d-112bc4fbe76a,2026-09-17T13:18:01.589207Z,REF-6015,1,meta-llama/llama-3.3-70b-instruct,v2,v2,live,parallel,False,book,book,True,,completed,4,21260,419,True,0.00241228,17890.81,,16752,0,0.00241228,0.00226008,provider_reported,0.0,confirm,90ff19f3c3d852992a6f990650e233f57b38add684a07643dcbb93d77c8e7f73
e12fad43-dd3b-4576-8520-d05161183211,2026-09-17T13:18:19.482604Z,REF-6016,1,meta-llama/llama-3.3-70b-instruct,v2,v2,live,parallel,False,book,book,True,,completed,4,21147,377,True,0.00253635,23386.649,,0,0,0.00253635,0.00223534,provider_reported,0.0,confirm,90ff19f3c3d852992a6f990650e233f57b38add684a07643dcbb93d77c8e7f73
953c1a19-138e-41d6-ae50-e32d1dc9f0ec,2026-09-17T13:18:42.871587Z,REF-6017,1,meta-llama/llama-3.3-70b-instruct,v2,v2,live,parallel,False,book,book,True,,completed,4,21167,404,True,0.00575613,16191.669,,0,0,0.00575613,0.00224598,provider_reported,0.0,confirm,90ff19f3c3d852992a6f990650e233f57b38add684a07643dcbb93d77c8e7f73
